pattern,type,total_trades,win_rate,avg_return,sharpe_ratio,total_return,avg_magnitude,composite_score
strong_trend_bullish,BUY,176,1.0,2.1800568181818183,2.721812879728902,383.69,2.1800568181818183,0.9703946441155744
consolidation_bullish,BUY,273,1.0,0.23095238095238094,1.9064008363228184,63.05,0.23095238095238094,0.638770006551142
moon_leo_bullish,BUY,173,1.0,0.8212716763005781,1.0510012547749086,142.08,0.8212716763005781,0.6177052009780358
venus_combust_bullish,BUY,132,1.0,0.7296969696969696,1.1332536921601588,96.32,0.7296969696969696,0.6154130154059697
mercury_combust_bullish,BUY,125,1.0,0.74192,1.0861002850837873,92.74000000000001,0.74192,0.6117317707309258
jupiter_hora_bullish,BUY,452,1.0,0.7120575221238938,1.1171450827013545,321.85,0.7120575221238938,0.6114496754520834
nakshatra_mula_bullish,BUY,95,1.0,0.795578947368421,1.0174361827788598,75.58,0.795578947368421,0.6108189416763162
moon_sagittarius_bullish,BUY,195,1.0,0.7356410256410256,1.0280316566432552,143.45,0.7356410256410256,0.6045526209175426
venus_retrograde_bullish,BUY,160,1.0,0.6760625,1.0876294136070195,108.17,0.6760625,0.6037319401862162
nakshatra_purva_ashadha_bullish,BUY,79,1.0,0.6858227848101267,1.066653005117545,54.18000000000001,0.6858227848101267,0.6026304846515056
mars_retrograde_bullish,BUY,207,1.0,0.6808212560386474,1.0559459120601775,140.93,0.6808212560386474,0.6008299971814209
jupiter_retrograde_bullish,BUY,675,1.0,0.6590074074074074,1.0799356751611473,444.83,0.6590074074074074,0.6007685709692039
saturn_retrograde_bullish,BUY,795,1.0,0.6564276729559748,1.0762638494471894,521.86,0.6564276729559748,0.6000438928680516
gann_key_level_held_bullish,BUY,2054,1.0,0.6241528724440116,1.10330268213917,1282.01,0.6241528724440116,0.5990210547012881
gann_breached_level_bullish,BUY,2054,1.0,0.6241528724440116,1.10330268213917,1282.01,0.6241528724440116,0.5990210547012881
nakshatra_shatabhisha_bullish,BUY,96,1.0,0.6169791666666667,1.1042490997026113,59.230000000000004,0.6169791666666667,0.5982356075087134
eclipse_active_bullish,BUY,348,1.0,0.6764942528735632,1.0245246515312276,235.42000000000002,0.6764942528735632,0.5968300426833103
mars_combust_bullish,BUY,163,1.0,0.7538650306748466,0.9276510849256753,122.88,0.7538650306748466,0.5957489502038433
sun_conj_saturn_bullish,BUY,601,1.0,0.6692512479201331,1.0203360936909927,402.22,0.6692512479201331,0.5954700198886521
moon_opposition_saturn_bullish,BUY,1271,1.0,0.6698505114083398,1.0162642904321917,851.38,0.6698505114083398,0.5950955503183805
strong_trend_bearish,SELL,200,1.0,2.41875,-1.9147250114022365,483.75,2.41875,0.4889577539665827
mars_combust_bearish,SELL,197,1.0,0.7478172588832487,-0.6037072082782824,147.32,0.7478172588832487,0.4262115239520805
nakshatra_rohini_bearish,SELL,85,1.0,0.6434117647058822,-0.6176255678566974,54.68999999999999,0.6434117647058822,0.41172791457693714
moon_taurus_bearish,SELL,206,1.0,0.5751456310679611,-0.6613413369841181,118.47999999999999,0.5751456310679611,0.3984424164936042
sun_conj_saturn_bearish,SELL,646,1.0,0.6481269349845201,-0.7537234811209882,418.69,0.6481269349845201,0.39731194067374875
nakshatra_jyeshtha_bearish,SELL,93,1.0,0.6008602150537635,-0.7086796133367114,55.88000000000001,0.6008602150537635,0.39641416640515
jupiter_retrograde_bearish,SELL,726,1.0,0.6123278236914601,-0.7294127153588598,444.55,0.6123278236914601,0.3955512893636701
moon_hora_bearish,SELL,475,1.0,0.6063368421052632,-0.7345210897813179,288.01,0.6063368421052632,0.3942451735022627
mercury_retrograde_bearish,SELL,442,1.0,0.6128506787330317,-0.745116509242943,270.88,0.6128506787330317,0.3938852571442133
venus_combust_bearish,SELL,159,1.0,0.5671698113207547,-0.7262550055348492,90.18,0.5671698113207547,0.39029834042822587
eclipse_active_bearish,SELL,398,1.0,0.6133417085427135,-0.8007943022952135,244.10999999999999,0.6133417085427135,0.38780931721425793
saturn_retrograde_bearish,SELL,937,1.0,0.5602027748132338,-0.7651990712810011,524.9100000000001,0.5602027748132338,0.38514177141123007
mars_retrograde_bearish,SELL,224,1.0,0.47147321428571437,-0.6716566768881956,105.61000000000001,0.47147321428571437,0.38444685863715083
mars_square_jupiter_bearish,SELL,457,1.0,0.6053391684901531,-0.8239530670524305,276.64,0.6053391684901531,0.3842641798727433
nakshatra_mrigashira_bearish,SELL,107,1.0,0.5320560747663552,-0.74829200228731,56.93,0.5320560747663552,0.38351421606813263
moon_scorpio_bearish,SELL,215,1.0,0.5753488372093023,-0.8097054256979888,123.7,0.5753488372093023,0.3821148332318782
mars_hora_bearish,SELL,530,1.0,0.5800943396226415,-0.818773969796924,307.45,0.5800943396226415,0.3817038818026526
venus_retrograde_bearish,SELL,162,1.0,0.6139506172839506,-0.8806198423632509,99.46,0.6139506172839506,0.37908641741985044
gann_breached_level_bearish,SELL,2318,1.0,0.5389387402933564,-0.8244023228694114,1249.2600000000002,0.5389387402933564,0.3759789505776586
gann_key_level_held_bearish,SELL,2318,1.0,0.5389387402933564,-0.8244023228694114,1249.2600000000002,0.5389387402933564,0.3759789505776586
